Link,City,Country,Location,Staff,Cleanliness,Security,Atmosphere,Value For Money,Facilities,Hostel_ID,Hostel_Name
https://www.hostelworld.com/st/hostels/p/35885/meininger-berlin-central-station/,Berlin,Germany,9.4,8.8,8.6,8.8,7.8,8.6,8.3,35885,Meininger Berlin Central Station
https://www.hostelworld.com/st/hostels/p/12736/amstel-house-hostel/,Berlin,Germany,7.8,8.9,8.7,9.1,8.0,8.5,8.5,12736,Amstel House Hostel
https://www.hostelworld.com/st/hotels/p/303230/safestay-berlin-kurfurstendamm/,Berlin,Germany,9.3,10.0,10.0,10.0,9.3,10.0,8.7,303230,Safestay Berlin Kurfurstendamm
https://www.hostelworld.com/st/hostels/p/6838/a-and-o-berlin-mitte/,Berlin,Germany,7.7,7.2,6.2,7.6,6.9,6.9,6.6,6838,A And O Berlin Mitte
https://www.hostelworld.com/st/hostels/p/34491/comebackpackers/,Berlin,Germany,8.0,8.7,6.7,8.1,8.2,7.6,7.1,34491,Comebackpackers
https://www.hostelworld.com/st/hostels/p/57132/meininger-berlin-airport/,Berlin,Germany,8.9,8.7,9.2,9.3,8.1,9.0,9.2,57132,Meininger Berlin Airport
https://www.hostelworld.com/st/hotels/p/283072/die-botschaft/,Berlin,Germany,6.0,10.0,10.0,10.0,10.0,6.0,8.0,283072,Die Botschaft
https://www.hostelworld.com/st/hostels/p/280374/meininger-berlin-east-side-gallery/,Berlin,Germany,9.0,9.1,9.0,9.1,8.2,8.9,8.7,280374,Meininger Berlin East Side Gallery
https://www.hostelworld.com/st/hotels/p/13695/acama-hotel-and-hostel-kreuzberg/,Berlin,Germany,8.2,8.9,8.7,9.3,7.3,7.6,8.0,13695,Acama Hotel And Hostel Kreuzberg
https://www.hostelworld.com/st/hostels/p/89602/kiez-hostel-berlin/,Berlin,Germany,9.0,9.2,9.4,9.3,8.7,9.3,9.0,89602,Kiez Hostel Berlin
https://www.hostelworld.com/st/hostels/p/286037/meininger-berlin-tiergarten/,Berlin,Germany,8.0,8.4,9.4,9.4,7.5,8.0,8.9,286037,Meininger Berlin Tiergarten
https://www.hostelworld.com/st/hostels/p/27264/jugendgastehaus-lichterfelde/,Berlin,Germany,7.2,8.7,8.0,8.3,7.4,8.2,7.5,27264,Jugendgastehaus Lichterfelde
https://www.hostelworld.com/st/hostels/p/719/a-and-o-berlin-friedrichshain/,Berlin,Germany,8.0,7.4,6.5,8.1,6.8,7.1,6.3,719,A And O Berlin Friedrichshain
https://www.hostelworld.com/st/hotels/p/308269/happy-hotel-berlin/,Berlin,Germany,8.7,9.2,7.8,8.8,7.7,9.3,8.3,308269,Happy Hotel Berlin
https://www.hostelworld.com/st/hostels/p/285129/big-mama-berlin/,Berlin,Germany,7.3,9.5,8.3,8.4,7.8,8.1,7.8,285129,Big Mama Berlin
https://www.hostelworld.com/st/hostels/p/63287/generator-berlin-mitte/,Berlin,Germany,9.3,8.8,7.8,9.0,7.9,7.9,7.5,63287,Generator Berlin Mitte
https://www.hostelworld.com/st/hostels/p/59984/generator-berlin-alexanderplatz/,Berlin,Germany,8.8,8.3,8.1,8.8,7.7,7.8,7.3,59984,Generator Berlin Alexanderplatz
https://www.hostelworld.com/st/bed-and-breakfasts/p/18159/hotel-avalex/,Berlin,Germany,8.0,9.5,7.5,9.0,7.5,8.0,6.5,18159,Hotel Avalex
https://www.hostelworld.com/st/hostels/p/703/circus-hostel/,Berlin,Germany,9.4,9.4,9.3,9.7,8.8,9.0,8.8,703,Circus Hostel
https://www.hostelworld.com/st/hostels/p/15093/three-little-pigs-hostel-your-berlin-castle/,Berlin,Germany,8.8,8.7,8.4,9.1,8.4,8.4,8.2,15093,Three Little Pigs Hostel Your Berlin Castle
https://www.hostelworld.com/st/hostels/p/732/sunflower-hostel/,Berlin,Germany,8.7,8.6,8.0,8.9,8.6,8.4,8.0,732,Sunflower Hostel
https://www.hostelworld.com/st/hostels/p/100737/a-and-o-berlin-kolumbus/,Berlin,Germany,4.9,7.5,5.8,7.3,6.3,6.8,6.7,100737,A And O Berlin Kolumbus
https://www.hostelworld.com/st/hotels/p/316583/selina-berlin-mitte/,Berlin,Germany,9.6,9.4,9.2,9.6,8.3,8.9,8.6,316583,Selina Berlin Mitte
https://www.hostelworld.com/st/hotels/p/307536/hotel-pension-funk/,Berlin,Germany,,,,,,,,307536,Hotel Pension Funk
https://www.hostelworld.com/st/hostels/p/8999/pfefferbett-hostel/,Berlin,Germany,8.9,9.4,9.3,9.6,8.3,9.0,9.0,8999,Pfefferbett Hostel
https://www.hostelworld.com/st/hostels/p/27242/singer109-backpacker-apartment-hostel/,Berlin,Germany,8.4,9.0,9.1,9.2,7.8,8.5,8.5,27242,Singer109 Backpacker Apartment Hostel
https://www.hostelworld.com/st/hostels/p/20338/meininger-berlin-alexanderplatz/,Berlin,Germany,8.8,9.4,9.1,9.4,8.0,9.0,8.9,20338,Meininger Berlin Alexanderplatz
https://www.hostelworld.com/st/hostels/p/23731/backpackerberlin/,Berlin,Germany,9.7,9.8,9.5,9.5,9.2,9.6,9.4,23731,Backpackerberlin
https://www.hostelworld.com/st/hostels/p/11286/eastseven-berlin-hostel/,Berlin,Germany,9.5,10.0,9.8,9.9,9.9,9.8,9.8,11286,Eastseven Berlin Hostel
https://www.hostelworld.com/st/hostels/p/702/pegasus-hostel/,Berlin,Germany,8.0,8.6,6.7,8.0,6.7,7.5,7.0,702,Pegasus Hostel
https://www.hostelworld.com/st/hostels/p/705/lettem-sleep/,Berlin,Germany,8.3,7.4,5.1,6.8,6.3,6.5,5.8,705,Lettem Sleep
https://www.hostelworld.com/st/hostels/p/85839/minimal/,Berlin,Germany,10.0,10.0,10.0,10.0,9.3,9.3,9.3,85839,Minimal
https://www.hostelworld.com/st/hostels/p/271414/die-fabrik-baxpax-hotel/,Berlin,Germany,8.5,8.7,7.9,8.6,7.3,8.0,7.0,271414,Die Fabrik Baxpax Hotel
https://www.hostelworld.com/st/hostels/p/11864/eastern-and-western-comfort-berlin-boat-gmbh/,Berlin,Germany,9.4,9.4,6.6,8.2,7.0,7.0,6.4,11864,Eastern And Western Comfort Berlin Boat Gmbh
https://www.hostelworld.com/st/hostels/p/57134/lekkerurlaub/,Berlin,Germany,9.0,10.0,9.0,10.0,10.0,9.0,8.0,57134,Lekkerurlaub
https://www.hostelworld.com/st/hostels/p/17515/st-christopher-s-berlin-alexanderplatz/,Berlin,Germany,9.1,8.6,7.9,8.9,8.3,8.3,7.8,17515,St Christopher S Berlin Alexanderplatz
https://www.hostelworld.com/st/hostels/p/42091/a-and-o-berlin-hauptbahnhof/,Berlin,Germany,7.6,7.5,6.7,7.9,6.1,6.9,6.9,42091,A And O Berlin Hauptbahnhof
https://www.hostelworld.com/st/hostels/p/42712/metropol-hostel-berlin/,Berlin,Germany,7.3,6.9,5.2,6.2,4.6,5.7,4.8,42712,Metropol Hostel Berlin
https://www.hostelworld.com/st/hotels/p/43551/h-hotel-4youth/,Berlin,Germany,,,,,,,,43551,H Hotel 4Youth
https://www.hostelworld.com/st/hostels/p/15426/st-christopher-s-berlin-mitte/,Berlin,Germany,9.2,9.0,8.5,9.1,8.7,8.4,8.2,15426,St Christopher S Berlin Mitte
https://www.hostelworld.com/st/hostels/p/285861/grand-hostel-berlin-urban/,Berlin,Germany,8.6,8.9,9.2,9.2,7.6,8.4,7.8,285861,Grand Hostel Berlin Urban
https://www.hostelworld.com/st/hostels/p/34160/grand-hostel-berlin-classic/,Berlin,Germany,8.6,9.4,8.8,9.0,8.2,8.3,8.0,34160,Grand Hostel Berlin Classic
https://www.hostelworld.com/st/hostels/p/17994/st-christopher-s-apartments-berlin/,Berlin,Germany,9.5,8.5,9.0,9.5,9.0,8.0,8.0,17994,St Christopher S Apartments Berlin
https://www.hostelworld.com/st/hostels/p/307363/neohostel-berlin/,Berlin,Germany,5.5,6.9,6.7,7.1,6.0,6.9,6.2,307363,Neohostel Berlin
https://www.hostelworld.com/st/hostels/p/35359/36-rooms-berlin-kreuzberg/,Berlin,Germany,6.5,5.9,3.4,5.3,4.3,4.6,3.7,35359,36 Rooms Berlin Kreuzberg
https://www.hostelworld.com/st/hostels/p/318811/zur-schinke-12/,Berlin,Germany,7.9,7.9,7.9,7.1,7.5,7.7,7.1,318811,Zur Schinke 12
https://www.hostelworld.com/st/hostels/p/40694/industriepalast-hostel-berlin/,Berlin,Germany,9.0,8.7,8.2,8.8,6.9,8.1,7.7,40694,Industriepalast Hostel Berlin
https://www.hostelworld.com/st/hostels/p/4827/eastener-hostel/,Berlin,Germany,9.4,9.9,9.4,9.7,8.9,9.5,9.0,4827,Eastener Hostel
https://www.hostelworld.com/st/hotels/p/284557/easy-lodges-berlin/,Berlin,Germany,8.6,7.5,6.2,7.8,6.9,7.8,6.9,284557,Easy Lodges Berlin
https://www.hostelworld.com/st/hostels/p/5227/heart-of-gold-hostel/,Berlin,Germany,9.2,8.5,7.4,8.9,8.0,8.1,7.8,5227,Heart Of Gold Hostel
https://www.hostelworld.com/st/hostels/p/2163/generator-prenzlauer-berg/,Berlin,Germany,7.3,7.8,7.0,8.2,6.3,7.3,6.3,2163,Generator Prenzlauer Berg
